Channel,Followers,Peak viewers
xQcOW,3246298,222720
summit1g,5310163,310998
Gaules,1767635,387315
ESL_CSGO,3944850,300575
Tfue,8938903,285644
Asmongold,1563438,263720
NICKMERCS,4074287,115633
Fextralife,508816,68795
loltyler1,3530767,89387
Anomaly,2607076,125408
TimTheTatman,5265659,142067
LIRIK,2666382,89170
Riot Games (riotgames),4487489,639375
Rubius,5751354,240096
auronplay,3983847,170115
MontanaBlack88,2911316,181600
sodapoppin,2786162,107833
풍월량 (hanryang1125),494445,26999
alanzoka,3445134,89153
CohhCarnage,1264808,43615
Lord_Kebun,434200,34830
LCK_Korea,619382,140557
Castro_1021,2411995,125133
DrDisrespect,4450718,97540
TheRealKnossi,1260160,288459
TheGrefg,3795667,538444
YoDa,1792625,123796
Pestily,616168,168112
한동숙 (handongsuk),385250,44976
GamesDoneQuick,1724316,234826
Solary,493207,24470
Gotaga,2401580,81644
MOONMOON,923448,24892
DrLupo,4115083,90696
OgamingLoL,523758,204491
Myth,6726893,122552
Evelone192,1075101,106900
nl_Kripp,1379123,29316
LEC,973727,305119
dota2mc_ru,428284,182869
Fresh,3135667,57431
LCS,1162746,214124
ROSHTEIN,381918,45843
ibai,1894953,173238
TFBlade,1008040,35833
Sardoche,746865,144066
LCK,934688,171861
Yassuo,1878416,70587
HasanAbi,470123,44649
BeyondTheSummit,923689,116547
Dota2RuHub,777510,105359
Bugha,2942212,66311
RocketLeague,1409120,206681
csgomc_ru,492954,364816
Clix,2035180,81926
Gorgc,391726,56449
서새봄냥 (saddummy),580794,25482
NoWay4u_Sir,383892,24286
RiotGamesBrazil,1011924,255542
JLTomy,428073,42079
SolaryFortnite,1478270,46710
ONSCREEN,918654,88516
AdmiralBahroo,778055,21053
Quin69,538532,36742
Trymacs,1607134,50957
dasMEHDI,299048,47683
sneakylol,1659108,22759
NickEh30,1660204,85073
fps_shaka,303671,26572
LVPes,587677,233009
Vader,424374,16289
forsen,1308165,33966
Papaplatte,919026,42230
StarLadder_cs_en,820675,329195
Symfuhny,2355063,45671
